Eng_Strain, Eng_Stress (MPa) 
0.010562, 423.112795 
0.010599, 423.673512 
0.010630, 423.433979 
0.010659, 423.197136 
0.010690, 423.652256 
0.010726, 424.155685 
0.010757, 424.168719 
0.010790, 424.190088 
0.010821, 424.453188 
0.010858, 425.042776 
0.010895, 425.192627 
0.010925, 425.209525 
0.010959, 425.295381 
0.010991, 425.373129 
0.011027, 425.972493 
0.011060, 426.116167 
0.011094, 426.391467 
0.011126, 426.162013 
0.011157, 426.177358 
0.011193, 426.781609 
0.011224, 426.608305 
0.011255, 426.745463 
0.011290, 427.245330 
0.011324, 427.374834 
0.011355, 427.517372 
0.011389, 427.546736 
0.011418, 427.617361 
0.011449, 427.702194 
0.011480, 427.771644 
0.011511, 428.084341 
0.011540, 427.758534 
0.011564, 427.560414 
0.011595, 428.536733 
0.011626, 428.659228 
0.011658, 428.827568 
0.011700, 430.035123 
0.011737, 430.668700 
0.011780, 430.836737 
0.011822, 431.338537 
0.011864, 431.493010 
0.011900, 430.688592 
0.011933, 431.083090 
0.011967, 431.248664 
0.011999, 430.945895 
0.012031, 431.189937 
0.012063, 431.192437 
0.012094, 431.330542 
0.012121, 431.277157 
0.012154, 431.541735 
0.012187, 431.787444 
0.012215, 431.279847 
0.012238, 431.403781 
0.012268, 432.045163 
0.012293, 431.756375 
0.012327, 432.279885 
0.012355, 432.550222 
0.012390, 433.505399 
0.012431, 434.078922 
0.012472, 434.801576 
0.012513, 434.944076 
0.012550, 434.521691 
0.012585, 434.799530 
0.012618, 434.438677 
0.012653, 434.712196 
0.012689, 435.201417 
0.012722, 435.003637 
0.012752, 434.744212 
0.012784, 434.895692 
0.012814, 434.961505 
0.012842, 435.235100 
0.012872, 435.390217 
0.012904, 435.577161 
0.012933, 435.779449 
0.012969, 436.444436 
0.013003, 436.538173 
0.013036, 436.947638 
0.013073, 437.097602 
0.013106, 437.044747 
0.013138, 437.260334 
0.013168, 437.369871 
0.013200, 437.651536 
0.013234, 437.685295 
0.013265, 437.789149 
0.013302, 438.251582 
0.013334, 438.706210 
0.013368, 438.396355 
0.013395, 438.256091 
0.013426, 438.445989 
0.013460, 439.069109 
0.013494, 438.864434 
0.013521, 438.827947 
0.013558, 439.517751 
0.013590, 439.287046 
0.013625, 439.868639 
0.013658, 440.268064 
0.013689, 440.293676 
0.013728, 440.507445 
0.013759, 440.209146 
0.013793, 440.376804 
0.013822, 440.574357 
0.013854, 440.664570 
0.013888, 440.933808 
0.013912, 440.568863 
0.013948, 440.872580 
0.013977, 441.268215 
0.014007, 441.204297 
0.014038, 441.519721 
0.014069, 441.862577 
0.014102, 441.937029 
0.014134, 442.018035 
0.014164, 442.412988 
0.014196, 442.742318 
0.014229, 442.843027 
0.014262, 443.141401 
0.014294, 443.150116 
0.014332, 443.587428 
0.014365, 443.653961 
0.014397, 443.729360 
0.014427, 443.887963 
0.014463, 444.170954 
0.014500, 444.461562 
0.014530, 444.425833 
0.014561, 444.378661 
0.014591, 444.672640 
0.014622, 444.241011 
0.014650, 444.415300 
0.014677, 444.407722 
0.014706, 444.542909 
0.014733, 444.725003 
0.014762, 444.935134 
0.014798, 445.729777 
0.014833, 446.151290 
0.014867, 446.786534 
0.014910, 447.506915 
0.014949, 447.008487 
0.014987, 447.527147 
0.015029, 447.748267 
0.015062, 447.513545 
0.015095, 447.241314 
0.015123, 447.022620 
0.015158, 447.487478 
0.015189, 447.562687 
0.015224, 447.800515 
0.015253, 447.655969 
0.015284, 447.448187 
0.015312, 447.654264 
0.015342, 447.701398 
0.015370, 447.516311 
0.015392, 447.514151 
0.015423, 448.092335 
0.015451, 448.127572 
0.015481, 448.669912 
0.015517, 449.689880 
0.015554, 449.941765 
0.015593, 450.450195 
0.015633, 450.970447 
0.015668, 450.562308 
0.015700, 450.636760 
0.015733, 450.677907 
0.015762, 450.527526 
0.015794, 450.493085 
0.015825, 450.246959 
0.015854, 450.675482 
0.015888, 451.014284 
0.015916, 450.912060 
0.015945, 451.007616 
0.015975, 451.023150 
0.016007, 451.560641 
0.016037, 451.680483 
0.016070, 451.755314 
0.016100, 451.888304 
0.016131, 451.531012 
0.016162, 452.381237 
0.016192, 452.219604 
0.016225, 452.525367 
0.016258, 453.002804 
0.016289, 453.092373 
0.016322, 453.007805 
0.016351, 453.015193 
0.016382, 453.301216 
0.016412, 453.260713 
0.016438, 453.125677 
0.016471, 453.449854 
0.016498, 453.560641 
0.016531, 454.224150 
0.016568, 454.712348 
0.016601, 454.717008 
0.016632, 454.792142 
0.016664, 454.601068 
0.016694, 454.951275 
0.016728, 455.186678 
0.016759, 455.531921 
0.016796, 455.719509 
0.016826, 455.569659 
0.016862, 455.906263 
0.016894, 456.074755 
0.016925, 456.303603 
0.016963, 456.534270 
0.016998, 456.474406 
0.017031, 456.795211 
0.017063, 456.876407 
0.017092, 456.565642 
0.017121, 456.738150 
0.017148, 456.622665 
0.017179, 456.908271 
0.017212, 457.058766 
0.017241, 457.534270 
0.017274, 457.615694 
0.017301, 456.973970 
0.017327, 457.266775 
0.017359, 457.703823 
0.017390, 458.002652 
0.017422, 457.941310 
0.017455, 458.536089 
0.017489, 459.257568 
0.017527, 459.787936 
0.017569, 460.341492 
0.017610, 460.371311 
0.017644, 460.156595 
0.017683, 460.285492 
0.017716, 460.248816 
0.017752, 459.948395 
0.017783, 459.905202 
0.017814, 460.080059 
0.017844, 460.443186 
0.017878, 460.289471 
0.017907, 460.129883 
0.017937, 460.491342 
0.017970, 460.860114 
0.018006, 461.281438 
0.018037, 461.098776 
0.018069, 461.267344 
0.018101, 461.360664 
0.018127, 461.592051 
0.018159, 461.663168 
0.018187, 461.393892 
0.018220, 461.875649 
0.018249, 462.106240 
0.018282, 462.166938 
0.018313, 462.437351 
0.018342, 462.304778 
0.018372, 462.322358 
0.018401, 462.682984 
0.018435, 463.120221 
0.018468, 463.068692 
0.018494, 462.640890 
0.018527, 463.293335 
0.018559, 463.259690 
0.018589, 463.478422 
0.018622, 464.003372 
0.018651, 463.915015 
0.018683, 463.944190 
0.018713, 464.139052 
0.018744, 464.172167 
0.018772, 464.405941 
0.018806, 464.519229 
0.018840, 464.902133 
0.018864, 464.523927 
0.018886, 462.753874 
0.018906, 462.890842 
0.018926, 463.154624 
0.018953, 463.883151 
0.018980, 464.279354 
0.019006, 464.531808 
0.019036, 465.276247 
0.019067, 465.640056 
0.019094, 465.579017 
0.019121, 465.221725 
0.019153, 465.974501 
0.019186, 466.367560 
0.019216, 466.327019 
0.019246, 466.580987 
0.019276, 466.594324 
0.019309, 466.883378 
0.019334, 466.624408 
0.019362, 466.517107 
0.019395, 467.196188 
0.019427, 467.237184 
0.019456, 467.048687 
0.019483, 467.162429 
0.019516, 468.124389 
0.019552, 468.431667 
0.019593, 469.129618 
0.019635, 469.657750 
0.019676, 469.762437 
0.019709, 469.521767 
0.019744, 469.422461 
0.019777, 469.402645 
0.019816, 469.427765 
0.019841, 468.638768 
0.019874, 469.156291 
0.019903, 469.297389 
0.019935, 469.507104 
0.019966, 469.872845 
0.019998, 469.818209 
0.020032, 469.799644 
0.020059, 469.942257 
0.020092, 470.458531 
0.020126, 470.570985 
0.020154, 470.525783 
0.020188, 470.763763 
0.020216, 470.744099 
0.020248, 470.898988 
0.020282, 471.234418 
0.020311, 471.420415 
0.020346, 471.638465 
0.020377, 471.577577 
0.020407, 471.629750 
0.020439, 471.946425 
0.020469, 471.725306 
0.020498, 471.773501 
0.020529, 472.126738 
0.020557, 472.019513 
0.020587, 472.176297 
0.020617, 472.319858 
0.020653, 472.761869 
0.020682, 472.587883 
0.020714, 473.262797 
0.020748, 473.516614 
0.020780, 473.442314 
0.020812, 473.767628 
0.020845, 473.631948 
0.020877, 473.951768 
0.020910, 474.063350 
0.020945, 474.337968 
0.020975, 473.997992 
0.021006, 474.374342 
0.021041, 474.654416 
0.021073, 474.474179 
0.021098, 474.317092 
0.021131, 474.330618 
0.021156, 473.962755 
0.021181, 473.956011 
0.021209, 474.353389 
0.021239, 474.764862 
0.021268, 475.007350 
0.021301, 475.348123 
0.021336, 475.985716 
0.021366, 476.120524 
0.021407, 476.884666 
0.021440, 477.188686 
0.021482, 477.130148 
0.021522, 477.411018 
0.021558, 477.299019 
0.021589, 476.922063 
0.021619, 476.850263 
0.021649, 476.785019 
0.021684, 477.342894 
0.021717, 477.379078 
0.021750, 477.422461 
0.021780, 477.470087 
0.021806, 477.007805 
